,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,rank_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,n_features,rank_n_features,features
0,0.7281553398058253,0.7475728155339806,0.7864077669902912,0.6893203883495146,0.7450980392156863,0.7393108699790596,0.03144316424029941,4,0.7761557177615572,0.7980535279805353,0.7834549878345499,0.805352798053528,0.7912621359223301,0.7908558335105,0.01032472554644617,2,0.03228716850280762,0.026154108365673296,0.0005552768707275391,5.736293538757728e-05,3,3,[False  True False False  True  True False]
1,0.6504854368932039,0.6019417475728155,0.6407766990291263,0.6116504854368932,0.6470588235294118,0.63038263849229,0.01974857959331653,11,0.7201946472019465,0.7250608272506083,0.7201946472019465,0.7372262773722628,0.7305825242718447,0.7266517846597218,0.006529793316801339,10,0.021351194381713866,0.010750682880027413,0.0004964828491210938,7.455217444464693e-05,4,9,[False False  True  True  True False  True]
2,0.6601941747572816,0.6213592233009708,0.6407766990291263,0.5922330097087378,0.6372549019607843,0.6303636017513802,0.0227191838768604,12,0.6982968369829684,0.6958637469586375,0.7128953771289538,0.7128953771289538,0.7014563106796117,0.7042815297758251,0.007253333175441796,12,0.07237434387207031,0.071002664827631,0.0004931449890136719,7.787899731484804e-05,2,1,[False False False  True  True False False]
3,0.6990291262135923,0.6893203883495146,0.7281553398058253,0.6699029126213593,0.696078431372549,0.6964972396725682,0.018802056164770885,9,0.7688564476885644,0.7396593673965937,0.732360097323601,0.7518248175182481,0.7378640776699029,0.7461129615193821,0.013028627690828045,7,0.009655189514160157,0.000997257800383423,0.00046234130859375,3.558668648614517e-05,4,9,[ True False False  True False  True  True]
4,0.7087378640776699,0.6990291262135923,0.7281553398058253,0.6601941747572816,0.696078431372549,0.6984389872453836,0.022170767437252718,8,0.7639902676399026,0.7396593673965937,0.732360097323601,0.7372262773722628,0.7354368932038835,0.7417345805872486,0.011379707524269662,9,0.019860506057739258,0.01208577726684633,0.0027453422546386717,0.0038830199687222423,3,3,[ True False False False False  True  True]
5,0.7184466019417476,0.6699029126213593,0.7087378640776699,0.7087378640776699,0.7254901960784313,0.7062630877593756,0.019248018515489664,7,0.7274939172749392,0.7420924574209246,0.7201946472019465,0.7201946472019465,0.720873786407767,0.7261698911015048,0.00842302757623064,11,0.029479122161865233,0.02565792050724248,0.0007211208343505859,0.0003577532421332242,2,1,[ True False False False False  True False]
6,0.6990291262135923,0.6893203883495146,0.7281553398058253,0.6699029126213593,0.696078431372549,0.6964972396725682,0.018802056164770885,9,0.7688564476885644,0.7396593673965937,0.732360097323601,0.7518248175182481,0.7378640776699029,0.7461129615193821,0.013028627690828045,7,0.01280670166015625,0.00622198613739713,0.0004597187042236328,2.477094458227469e-05,4,9,[ True False False  True False  True  True]
7,0.7184466019417476,0.7475728155339806,0.7766990291262136,0.7087378640776699,0.7549019607843137,0.7412716542927851,0.024738711753919285,1,0.7907542579075426,0.8004866180048662,0.7907542579075426,0.829683698296837,0.7961165048543689,0.8015590673942314,0.014527589711911197,1,0.0483736515045166,0.03799753395824892,0.012236261367797851,0.02357633014689081,4,9,[False  True False False  True  True  True]
8,0.7281553398058253,0.7475728155339806,0.7864077669902912,0.6893203883495146,0.7450980392156863,0.7393108699790596,0.03144316424029941,4,0.7761557177615572,0.7980535279805353,0.7834549878345499,0.805352798053528,0.7912621359223301,0.7908558335105,0.01032472554644617,2,0.03462662696838379,0.025306648135685693,0.00043625831604003905,1.445878460139459e-05,3,3,[False  True False False  True  True False]
9,0.7281553398058253,0.7475728155339806,0.7864077669902912,0.6893203883495146,0.7450980392156863,0.7393108699790596,0.03144316424029941,4,0.7761557177615572,0.7980535279805353,0.7834549878345499,0.805352798053528,0.7912621359223301,0.7908558335105,0.01032472554644617,2,0.009588003158569336,0.002715936471737978,0.00045943260192871094,3.844177062530026e-05,3,3,[False  True False False  True  True False]
10,0.7378640776699029,0.7475728155339806,0.7864077669902912,0.6893203883495146,0.7450980392156863,0.7412526175518751,0.030990831946139927,2,0.7761557177615572,0.7980535279805353,0.7834549878345499,0.805352798053528,0.7912621359223301,0.7908558335105,0.01032472554644617,2,0.014200639724731446,0.006504523465545205,0.00044803619384765626,1.5027861770632434e-05,3,3,[False  True False False  True  True False]
11,0.7378640776699029,0.7475728155339806,0.7864077669902912,0.6893203883495146,0.7450980392156863,0.7412526175518751,0.030990831946139927,2,0.7761557177615572,0.7980535279805353,0.7834549878345499,0.805352798053528,0.7912621359223301,0.7908558335105,0.01032472554644617,2,0.017331409454345702,0.009839008869761742,0.0004543781280517578,2.542950703233489e-05,3,3,[False  True False False  True  True False]
